Host,Port,Type,Country,Country code,City
117.88.5.141, 3000, https, China, CN, Nanjing
106.14.222.35, 51989, socks5, China, CN, 
47.100.106.114, 61639, socks5, China, CN, 
106.14.222.35, 56282, socks5, China, CN, 
47.100.106.114, 50147, socks5, China, CN, 
106.14.222.35, 57618, socks5, China, CN, 
120.236.254.175, 1081, socks5, China, CN, Guangzhou
171.35.222.13, 9999, https, China, CN, 
111.95.23.108, 3128, https, Indonesia, ID, Jakarta
47.100.106.114, 61192, socks5, China, CN, 
106.14.222.35, 59202, socks5, China, CN, 
113.194.48.64, 9999, https, China, CN, 
117.24.81.189, 9999, https, China, CN, Quanzhou
47.100.106.114, 54974, socks5, China, CN, 
47.100.106.114, 57571, socks5, China, CN, 
163.204.243.126, 9999, https, China, CN, 
47.100.106.114, 59789, socks5, China, CN, 
114.99.12.252, 8888, https, China, CN, 
106.14.222.35, 64233, socks5, China, CN, 
47.100.106.114, 53324, socks5, China, CN, 
183.166.71.209, 9999, https, China, CN, 
103.213.116.94, 3128, https, Indonesia, ID, 
106.14.222.35, 54258, socks5, China, CN, 
113.116.141.153, 1081, https, China, CN, Shenzhen
106.14.222.35, 49384, socks5, China, CN, 
177.101.224.90, 31127, socks4, Brazil, BR, Chuvisca
47.100.106.114, 58005, socks5, China, CN, 
218.95.51.176, 9000, https, China, CN, 
110.243.8.214, 9999, https, China, CN, 
123.163.97.4, 9999, https, China, CN, Tongxiang
106.14.222.35, 49757, socks5, China, CN, 
47.100.106.114, 53787, socks5, China, CN, 
36.249.48.59, 9999, https, China, CN, Quanzhou
186.208.5.218, 4145, socks4, Brazil, BR, Recife
47.100.106.114, 52551, socks5, China, CN, 
106.14.222.35, 59949, socks5, China, CN, 
47.100.106.114, 59811, socks5, China, CN, 
47.100.106.114, 57412, socks5, China, CN, 
45.70.249.8, 45506, socks4, Brazil, BR, Uruburetama
47.100.106.114, 62408, socks5, China, CN, 
187.4.114.105, 38429, socks4, Brazil, BR, Porto Velho
106.14.222.35, 63596, socks5, China, CN, 
47.100.106.114, 59954, socks5, China, CN, 
106.14.242.17, 64986, socks5, China, CN, 
118.99.88.96, 3128, https, Indonesia, ID, Bandung
106.14.222.35, 57042, socks5, China, CN, 
106.14.222.35, 53459, socks5, China, CN, 
47.100.106.114, 56632, socks5, China, CN, 
106.14.242.17, 52530, socks5, China, CN, 
106.14.222.35, 54057, socks5, China, CN, 
106.14.222.35, 50473, socks5, China, CN, 
106.14.222.35, 50853, socks5, China, CN, 
101.4.136.34, 8080, https, China, CN, 
106.14.222.35, 52000, socks5, China, CN, 
106.14.222.35, 51277, socks5, China, CN, 
221.227.85.82, 9999, https, China, CN, Jiangyin
110.244.12.62, 9999, https, China, CN, 
47.100.106.114, 55592, socks5, China, CN, 
222.95.240.77, 3000, https, China, CN, Nanjing
119.41.195.115, 53281, https, China, CN, Sanya
119.176.169.68, 9999, https, China, CN, 
125.108.112.175, 9000, https, China, CN, Wenzhou
168.181.128.147, 4145, socks4, Brazil, BR, Maceió
115.216.59.20, 9999, https, China, CN, Hangzhou
47.100.106.114, 63151, socks5, China, CN, 
117.69.12.9, 9999, https, China, CN, 
106.14.222.35, 60244, socks5, China, CN, 
106.14.222.35, 49518, socks5, China, CN, 
47.100.106.114, 50048, socks5, China, CN, 
113.66.222.81, 8118, https, China, CN, Guangzhou
47.100.106.114, 59715, socks5, China, CN, 
106.14.222.35, 60390, socks5, China, CN, 
106.14.222.35, 50723, socks5, China, CN, 
123.169.164.45, 9999, https, China, CN, 
47.100.106.114, 58053, socks5, China, CN, 
47.100.106.114, 58674, socks5, China, CN, 
125.108.97.118, 9000, https, China, CN, Wenzhou
163.204.246.218, 9999, https, China, CN, 
106.14.222.35, 54890, socks5, China, CN, 
106.14.222.35, 55426, socks5, China, CN, 
175.42.129.97, 9999, https, China, CN, 
113.124.85.196, 9999, https, China, CN, 
106.14.222.35, 64116, socks5, China, CN, 
47.100.106.114, 61371, socks5, China, CN, 
47.100.106.114, 57429, socks5, China, CN, 
47.100.106.114, 57516, socks5, China, CN, 
106.14.222.35, 56062, socks5, China, CN, 
47.100.106.114, 60095, socks5, China, CN, 
121.232.199.234, 9000, https, China, CN, Zhenjiang
115.218.7.192, 9000, https, China, CN, Wenzhou
106.14.222.35, 64734, socks5, China, CN, 
47.100.106.114, 61935, socks5, China, CN, 
106.14.222.35, 49960, socks5, China, CN, 
123.169.168.221, 9999, https, China, CN, 
175.44.109.71, 9999, https, China, CN, Putian
182.46.101.239, 9999, https, China, CN, Weifang
106.14.222.35, 56548, socks5, China, CN, 
106.14.222.35, 55289, socks5, China, CN, 
112.84.53.125, 9999, https, China, CN, Xuzhou
47.100.106.114, 54826, socks5, China, CN, 
47.100.106.114, 53321, socks5, China, CN, 
106.14.222.35, 58842, socks5, China, CN, 
47.100.106.114, 58262, socks5, China, CN, 
47.100.106.114, 53389, socks5, China, CN, 
47.100.106.114, 63720, socks5, China, CN, 
47.100.106.114, 50244, socks5, China, CN, 
175.43.35.3, 9999, https, China, CN, 
177.73.106.102, 4145, socks4, Brazil, BR, Navirai
183.166.138.144, 9999, https, China, CN, 
106.14.222.35, 62480, socks5, China, CN, 
179.189.237.149, 31337, socks4, Brazil, BR, São Paulo
47.100.106.114, 62623, socks5, China, CN, 
123.169.123.232, 9999, https, China, CN, Zibo
47.100.106.114, 59024, socks5, China, CN, 
125.108.74.56, 9000, https, China, CN, Wenzhou
106.14.222.35, 49448, socks5, China, CN, 
47.100.106.114, 64643, socks5, China, CN, 
163.204.246.217, 9999, https, China, CN, 
47.100.106.114, 63040, socks5, China, CN, 
106.14.222.35, 63255, socks5, China, CN, 
106.14.222.35, 57596, socks5, China, CN, 
106.14.242.17, 61734, socks5, China, CN, 
47.100.106.114, 64008, socks5, China, CN, 
125.108.65.251, 9000, https, China, CN, Wenzhou
47.100.106.114, 62397, socks5, China, CN, 
47.100.106.114, 59268, socks5, China, CN, 
14.20.235.28, 9797, https, China, CN, Zhongshan
223.242.225.215, 9999, https, China, CN, Huainan
36.73.9.84, 8080, https, Indonesia, ID, Semarang
106.14.222.35, 63459, socks5, China, CN, 
106.14.243.103, 50863, socks5, China, CN, 
47.100.106.114, 62447, socks5, China, CN, 
47.100.106.114, 59930, socks5, China, CN, 
125.108.110.240, 9000, https, China, CN, Wenzhou
118.113.245.215, 9999, https, China, CN, Chengdu
106.14.222.35, 53792, socks5, China, CN, 
106.14.222.35, 61150, socks5, China, CN, 
106.14.222.35, 61164, socks5, China, CN, 
106.14.222.35, 60952, socks5, China, CN, 
47.100.106.114, 62319, socks5, China, CN, 
106.14.222.35, 62686, socks5, China, CN, 
106.14.222.35, 57595, socks5, China, CN, 
106.14.222.35, 62132, socks5, China, CN, 
47.100.106.114, 58906, socks5, China, CN, 
220.249.149.127, 9999, https, China, CN, Fuzhou
47.100.106.114, 54602, socks5, China, CN, 
106.14.222.35, 49714, socks5, China, CN, 
47.100.106.114, 63590, socks5, China, CN, 
106.14.222.35, 55368, socks5, China, CN, 
106.14.222.35, 62247, socks5, China, CN, 
163.204.244.99, 9999, https, China, CN, 
47.100.106.114, 56754, socks5, China, CN, 
106.14.222.35, 61582, socks5, China, CN, 
120.77.253.219, 80, https, China, CN, 
182.46.216.185, 9999, https, China, CN, Qufu
47.100.106.114, 59197, socks5, China, CN, 
106.14.222.35, 57900, socks5, China, CN, 
180.251.244.34, 8080, https, Indonesia, ID, Bandar Lampung
182.46.103.244, 9999, https, China, CN, Weifang
47.100.106.114, 52925, socks5, China, CN, 
106.14.222.35, 54712, socks5, China, CN, 
47.100.106.114, 56601, socks5, China, CN, 
106.14.222.35, 59768, socks5, China, CN, 
117.90.137.57, 9000, https, China, CN, Wuxi
106.14.222.35, 63417, socks5, China, CN, 
122.5.179.94, 9999, https, China, CN, 
106.14.222.35, 60408, socks5, China, CN, 
47.100.106.114, 64495, socks5, China, CN, 
47.100.106.114, 57847, socks5, China, CN, 
1.197.203.140, 9999, https, China, CN, 
122.5.109.156, 9999, https, China, CN, 
106.14.222.35, 50897, socks5, China, CN, 
177.94.204.150, 4145, socks4, Brazil, BR, Indaiatuba
47.100.106.114, 53654, socks5, China, CN, 
182.253.115.66, 57733, https, Indonesia, ID, Salatiga
106.14.222.35, 59504, socks5, China, CN, 
47.100.106.114, 63114, socks5, China, CN, 
106.14.222.35, 57112, socks5, China, CN, 
47.100.106.114, 64818, socks5, China, CN, 
125.108.108.190, 9000, https, China, CN, Wenzhou
112.87.70.238, 9999, https, China, CN, Nantong
106.14.222.35, 63934, socks5, China, CN, 
106.14.222.35, 50886, socks5, China, CN, 
47.100.106.114, 49767, socks5, China, CN, 
